item,url,artist,discount_price,price,is_sold_out,ds,vendor,is_autograph,avg_review_value,number_of_questions,number_of_reviews,presale
1st Album Repackage IN生(IN LIFE),https://en.thejypshop.com/product/1st-album-repackage-in生in-life/89/category/59/display/1/,Stray Kids,17.82,22.0,False,2022-11-14,jypshop,,,,,
Stray Kids 2nd Album NOEASY,https://en.thejypshop.com/product/stray-kids-2nd-album-noeasy/70/category/59/display/1/,Stray Kids,17.82,22.0,False,2022-11-14,jypshop,,,,,
Stray Kids 2nd Album NOEASY (Jewel Case Ver.),https://en.thejypshop.com/product/stray-kids-2nd-album-noeasy-jewel-case-ver/69/category/59/display/1/,Stray Kids,11.91,14.7,False,2022-11-14,jypshop,,,,,
Holiday Special Single Christmas EveL,https://en.thejypshop.com/product/holiday-special-single-christmas-evel/65/category/59/display/1/,Stray Kids,13.36,16.5,False,2022-11-14,jypshop,,,,,
Mini Album ODDINARY,https://en.thejypshop.com/product/mini-album-oddinary/64/category/59/display/1/,Stray Kids,16.36,20.2,False,2022-11-14,jypshop,,,,,
Mini Album ODDINARY (Jewel Case Ver.),https://en.thejypshop.com/product/mini-album-oddinary-jewel-case-ver/63/category/59/display/1/,Stray Kids,11.91,14.7,False,2022-11-14,jypshop,,,,,
"[VIDEO CALL EVENT] Stray Kids Mini Album MAXIDENT (T-CRUSH ver., HEART ver.)",https://en.thejypshop.com/product/video-call-event-stray-kids-mini-album-maxident-t-crush-ver-heart-ver/839/category/59/display/1/,Stray Kids,16.36,20.2,True,2022-11-14,jypshop,,,,,
"[FAN SIGN EVENT] Stray Kids Mini Album MAXIDENT (T-CRUSH ver., HEART ver.)",https://en.thejypshop.com/product/fan-sign-event-stray-kids-mini-album-maxident-t-crush-ver-heart-ver/838/category/59/display/1/,Stray Kids,16.36,20.2,True,2022-11-14,jypshop,,,,,
Stray Kids Mini Album MAXIDENT (GO ver.),https://en.thejypshop.com/product/stray-kids-mini-album-maxident-go-ver/738/category/59/display/1/,Stray Kids,16.36,20.2,True,2022-11-14,jypshop,,,,,
Special Album 77-1X3-00,https://en.thejypshop.com/product/special-album-77-1x3-00/118/category/421/display/1/,JUN. K,14.82,18.3,False,2022-11-14,jypshop,,,,,
2nd Mini Album My 20's,https://en.thejypshop.com/product/2nd-mini-album-my-20s/113/category/421/display/1/,JUN. K,16.36,20.2,False,2022-11-14,jypshop,,,,,
1st Mini Album Mr. NO♡,https://en.thejypshop.com/product/1st-mini-album-mr-no/124/category/421/display/1/,JUN. K,13.36,16.5,True,2022-11-14,jypshop,,,,,
3rd Mini Album 20mins,https://en.thejypshop.com/product/3rd-mini-album-20mins/87/category/421/display/1/,JUN. K,16.36,20.2,True,2022-11-14,jypshop,,,,,
Love & Hate,https://en.thejypshop.com/product/love-hate/133/category/421/display/1/,JUN. K,11.91,14.7,True,2022-11-14,jypshop,,,,,
1st Mini Album ME,https://en.thejypshop.com/product/1st-mini-album-me/101/category/444/display/1/,NICHKHUN,17.82,22.0,True,2022-11-14,jypshop,,,,,
R.O.S.E,https://en.thejypshop.com/product/rose/129/category/449/display/1/,WOOYOUNG,11.91,14.7,True,2022-11-14,jypshop,,,,,
2nd Mini Album BYE,https://en.thejypshop.com/product/2nd-mini-album-bye/110/category/449/display/1/,WOOYOUNG,16.36,20.2,True,2022-11-14,jypshop,,,,,
1st Album FEEL,https://en.thejypshop.com/product/1st-album-feel/132/category/463/display/1/,JUNHO,13.36,16.5,False,2022-11-14,jypshop,,,,,
Best Album One,https://en.thejypshop.com/product/best-album-one/127/category/463/display/1/,JUNHO,14.82,18.3,False,2022-11-14,jypshop,,,,,
1st Mini Album CANVAS,https://en.thejypshop.com/product/1st-mini-album-canvas/115/category/463/display/1/,JUNHO,14.82,18.3,False,2022-11-14,jypshop,,,,,
Album TWO,https://en.thejypshop.com/product/album-two/102/category/463/display/1/,JUNHO,15.63,19.3,False,2022-11-14,jypshop,,,,,
TWICE IMAGE PICKET - TWICE 7TH ANNIVERSARY,https://en.thejypshop.com/product/twice-image-picket-twice-7th-anniversary/935/category/293/display/1/,TWICE,0.0,9.0,False,2022-11-14,jypshop,,,,,
TWICE PAPER AIR FRESHENER  - TWICE 7TH ANNIVERSARY,https://en.thejypshop.com/product/twice-paper-air-freshener-twice-7th-anniversary/929/category/293/display/1/,TWICE,0.0,9.0,False,2022-11-14,jypshop,,,,,
NAYEON ACRYLIC RING - IM NAYEON,https://en.thejypshop.com/product/nayeon-acrylic-ring-im-nayeon/527/category/293/display/1/,TWICE,0.0,25.0,False,2022-11-14,jypshop,,,,,
NAYEON FABRIC POSTER CALENDAR - IM NAYEON,https://en.thejypshop.com/product/nayeon-fabric-poster-calendar-im-nayeon/524/category/293/display/1/,TWICE,0.0,18.0,False,2022-11-14,jypshop,,,,,
NAYEON DECO STICKER PACK - IM NAYEON,https://en.thejypshop.com/product/nayeon-deco-sticker-pack-im-nayeon/523/category/293/display/1/,TWICE,0.0,12.0,False,2022-11-14,jypshop,,,,,
NAYEON T-SHIRT - IM NAYEON,https://en.thejypshop.com/product/nayeon-t-shirt-im-nayeon/519/category/293/display/1/,TWICE,0.0,38.0,False,2022-11-14,jypshop,,,,,
LOVELY ACRYLIC MINI PENDANT - TWICE 7TH ANNIVERSARY,https://en.thejypshop.com/product/lovely-acrylic-mini-pendant-twice-7th-anniversary/938/category/293/display/1/,LOVELY,0.0,12.0,True,2022-11-14,jypshop,,,,,
LOVELY MINI PHOTO FRAME KEYRING - TWICE 7TH ANNIVERSARY,https://en.thejypshop.com/product/lovely-mini-photo-frame-keyring-twice-7th-anniversary/937/category/293/display/1/,LOVELY,0.0,20.0,True,2022-11-14,jypshop,,,,,
LOVELY 4CUTS PHOTO HOLDER - TWICE 7TH ANNIVERSARY,https://en.thejypshop.com/product/lovely-4cuts-photo-holder-twice-7th-anniversary/936/category/293/display/1/,LOVELY,0.0,17.0,True,2022-11-14,jypshop,,,,,
TWICE EXHIBITION STAMP STICKER - TWICE 7TH ANNIVERSARY,https://en.thejypshop.com/product/twice-exhibition-stamp-sticker-twice-7th-anniversary/934/category/293/display/1/,TWICE,0.0,18.0,True,2022-11-14,jypshop,,,,,
TWICE ARCRYLIC PHOTO CASE - TWICE 7TH ANNIVERSARY,https://en.thejypshop.com/product/twice-arcrylic-photo-case-twice-7th-anniversary/933/category/293/display/1/,TWICE,0.0,19.0,True,2022-11-14,jypshop,,,,,
TWICE BINDER BOOK  - TWICE 7TH ANNIVERSARY,https://en.thejypshop.com/product/twice-binder-book-twice-7th-anniversary/932/category/293/display/1/,TWICE,0.0,20.0,True,2022-11-14,jypshop,,,,,
TWICE TWICEZINE  - TWICE 7TH ANNIVERSARY,https://en.thejypshop.com/product/twice-twicezine-twice-7th-anniversary/931/category/293/display/1/,TWICE,0.0,20.0,True,2022-11-14,jypshop,,,,,
TWICE TRADING CARD - TWICE 7TH ANNIVERSARY,https://en.thejypshop.com/product/twice-trading-card-twice-7th-anniversary/930/category/293/display/1/,TWICE,0.0,6.0,True,2022-11-14,jypshop,,,,,
EXHIBITION PHOTO SET - TWICE 7TH ANNIVERSARY,https://en.thejypshop.com/product/exhibition-photo-set-twice-7th-anniversary/928/category/293/display/1/,TWICE,0.0,12.0,True,2022-11-14,jypshop,,,,,
TWICE POSTCARD SET - TWICE 7TH ANNIVERSARY,https://en.thejypshop.com/product/twice-postcard-set-twice-7th-anniversary/927/category/293/display/1/,TWICE,0.0,12.0,True,2022-11-14,jypshop,,,,,
TWICE CARD WALLET - TWICE 7TH ANNIVERSARY,https://en.thejypshop.com/product/twice-card-wallet-twice-7th-anniversary/926/category/293/display/1/,TWICE,0.0,20.0,True,2022-11-14,jypshop,,,,,
TWICE BALL CAP - TWICE 7TH ANNIVERSARY,https://en.thejypshop.com/product/twice-ball-cap-twice-7th-anniversary/925/category/293/display/1/,TWICE,0.0,32.0,True,2022-11-14,jypshop,,,,,
TWICE LEATHER BRACELET - TWICE 7TH ANNIVERSARY,https://en.thejypshop.com/product/twice-leather-bracelet-twice-7th-anniversary/924/category/293/display/1/,TWICE,0.0,28.0,True,2022-11-14,jypshop,,,,,
TWICE BETWEEN 1&2 BADGE - TWICE 7TH ANNIVERSARY,https://en.thejypshop.com/product/twice-between-12-badge-twice-7th-anniversary/923/category/293/display/1/,TWICE,0.0,12.0,True,2022-11-14,jypshop,,,,,
TWICE TOGETHER 1&2 BADGE -  TWICE 7TH ANNIVERSARY,https://en.thejypshop.com/product/twice-together-12-badge-twice-7th-anniversary/922/category/293/display/1/,TWICE,0.0,12.0,True,2022-11-14,jypshop,,,,,
TWICE HOOD ZIP UP - TWICE 7TH ANNIVERSARY,https://en.thejypshop.com/product/twice-hood-zip-up-twice-7th-anniversary/921/category/293/display/1/,TWICE,0.0,68.0,True,2022-11-14,jypshop,,,,,
TWICE ECO BAG -  TWICE 7TH ANNIVERSARY,https://en.thejypshop.com/product/twice-eco-bag-twice-7th-anniversary/920/category/293/display/1/,TWICE,0.0,28.0,True,2022-11-14,jypshop,,,,,
CHAEYOUNG BUCKET HAT - TWICE 7TH ANNIVERSARY,https://en.thejypshop.com/product/chaeyoung-bucket-hat-twice-7th-anniversary/918/category/293/display/1/,TWICE,0.0,37.0,True,2022-11-14,jypshop,,,,,
DAHYUN DUB MAT -  TWICE 7TH ANNIVERSARY,https://en.thejypshop.com/product/dahyun-dub-mat-twice-7th-anniversary/917/category/293/display/1/,TWICE,0.0,32.0,True,2022-11-14,jypshop,,,,,
MINA CHECKED SHIRT - TWICE 7TH ANNIVERSARY,https://en.thejypshop.com/product/mina-checked-shirt-twice-7th-anniversary/916/category/293/display/1/,TWICE,0.0,78.0,True,2022-11-14,jypshop,,,,,
JIHYO PADDED SCARF -  TWICE 7TH ANNIVERSARY,https://en.thejypshop.com/product/jihyo-padded-scarf-twice-7th-anniversary/915/category/293/display/1/,TWICE,0.0,45.0,True,2022-11-14,jypshop,,,,,
SANA POUCH - TWICE 7TH ANNIVERSARY,https://en.thejypshop.com/product/sana-pouch-twice-7th-anniversary/914/category/293/display/1/,TWICE,0.0,35.0,True,2022-11-14,jypshop,,,,,
MOMO BEER CUP - TWICE 7TH ANNIVERSARY,https://en.thejypshop.com/product/momo-beer-cup-twice-7th-anniversary/913/category/293/display/1/,TWICE,0.0,25.0,True,2022-11-14,jypshop,,,,,
JEONGYEON STRESS BALL - TWICE 7TH ANNIVERSARY,https://en.thejypshop.com/product/jeongyeon-stress-ball-twice-7th-anniversary/912/category/293/display/1/,TWICE,0.0,20.0,True,2022-11-14,jypshop,,,,,
NAYEON BLANKET - TWICE 7TH ANNIVERSARY,https://en.thejypshop.com/product/nayeon-blanket-twice-7th-anniversary/911/category/293/display/1/,TWICE,0.0,45.0,True,2022-11-14,jypshop,,,,,
NAYEON REUSABLE CUP - IM NAYEON,https://en.thejypshop.com/product/nayeon-reusable-cup-im-nayeon/526/category/293/display/1/,TWICE,0.0,13.0,True,2022-11-14,jypshop,,,,,
NAYEON LANYARD - IM NAYEON,https://en.thejypshop.com/product/nayeon-lanyard-im-nayeon/525/category/293/display/1/,TWICE,0.0,20.0,True,2022-11-14,jypshop,,,,,
NAYEON COLLECT BOOK - IM NAYEON,https://en.thejypshop.com/product/nayeon-collect-book-im-nayeon/522/category/293/display/1/,TWICE,0.0,28.0,True,2022-11-14,jypshop,,,,,
