item,url,price,is_autograph,vendor,is_sold_out,ds
NCT DREAM 'Glitch Mode' Short Sleeve T shirts (White) Deluxe Box with 2nd Bonus Photocard,https://smglobalshop.com/products/pre-order-nct-dream-glitch-mode-short-sleeve-t-shirts-white-deluxe-box-with-2nd-bonus-photocard,34.5,False,smglobalshop,False,2022-11-14
NCT DREAM 'Glitch Mode' Short Sleeve T shirts (Black) Deluxe Box with 2nd Bonus Photo Card,https://smglobalshop.com/products/pre-order-nct-dream-glitch-mode-short-sleeve-t-shirts-black-deluxe-box-with-2nd-bonus-photo-card,34.5,False,smglobalshop,False,2022-11-14
NCT DREAM 'Glitch Mode' Lanyard Set Deluxe Box with 2nd Bonus Photo Card,https://smglobalshop.com/products/pre-order-nct-dream-glitch-mode-lanyard-set-deluxe-box-with-2nd-bonus-photo-card,34.5,False,smglobalshop,False,2022-11-14
Pre-Order - HYO The 1st Mini Album '휩 (DEEP)',https://smglobalshop.com/products/pre-order-hyo-the-1st-mini-album-휩-deep,27,False,smglobalshop,True,2022-11-14
NCT DREAM 'Glitch Mode' Hard Case Pouch with Strap + 2 Exclusive Photo Card,https://smglobalshop.com/products/pre-order-nct-dream-glitch-mode-hard-case-pouch-with-strap-exclusive-photo-card,38,False,smglobalshop,False,2022-11-14
NCT DREAM 'Glitch Mode' Bomber Jacket with Patches + 2 Exclusive Photo Card,https://smglobalshop.com/products/pre-order-nct-dream-glitch-mode-bomber-jacket-with-patches-exclusive-photo-card,120,False,smglobalshop,False,2022-11-14
RYEOWOOK The 3rd Mini Album 'A Wild Rose',https://smglobalshop.com/products/pre-order-ryeowook-the-3rd-mini-album-a-wild-rose,28,False,smglobalshop,True,2022-11-14
EXO 10th Anniversary Acrylic Stand & AR Voice Card Set,https://smglobalshop.com/products/pre-order-exo-10th-anniversary-acrylic-stand-ar-voice-card-set,32,False,smglobalshop,False,2022-11-14
2022 Debut Anniversary Fan Event : EXO' Special AR Ticket Set,https://smglobalshop.com/products/pre-order-2022-debut-anniversary-fan-event-exo-special-ar-ticket-set,15,False,smglobalshop,False,2022-11-14
ONEW The 2nd Mini Album ’DICE’ (Photobook Ver.),https://smglobalshop.com/products/pre-order-onew-the-2nd-mini-album-dice-photobook-ver-1,26.5,False,smglobalshop,True,2022-11-14
ONEW The 2nd Mini Album ’DICE’ (Digipack Ver.),https://smglobalshop.com/products/pre-order-onew-the-2nd-mini-album-dice-photobook-ver,22.5,False,smglobalshop,False,2022-11-14
SUHO The 2nd Mini Album ’Grey Suit’ (Digipack Ver.),https://smglobalshop.com/products/pre-order-suho-the-2nd-mini-album-grey-suit-digipack-ver,22.5,False,smglobalshop,True,2022-11-14
SUHO The 2nd Mini Album ’Grey Suit’ (Photobook Ver.),https://smglobalshop.com/products/pre-order-suho-the-2nd-mini-album-grey-suit-photobook-ver,27.5,False,smglobalshop,True,2022-11-14
Red Velvet Mini Album 'The ReVe Festival 2022 - Feel My Rhythm' (Orgel Ver.),https://smglobalshop.com/products/pre-order-red-velvet-mini-album-the-reve-festival-2022-feel-my-rhythm-orgel-ver,26,False,smglobalshop,True,2022-11-14
Red Velvet Mini Album ’The ReVe Festival 2022 - Feel My Rhythm’(ReVe Ver.),https://smglobalshop.com/products/pre-order-red-velvet-mini-album-the-reve-festival-2022-feel-my-rhythm-reve-ver,26,False,smglobalshop,True,2022-11-14
aespa 'Dreams Come True' Clear Card Wallet with Sticker Set + Exclusive Photo Card,https://smglobalshop.com/products/pre-order-aespa-dreams-come-true-clear-card-wallet-with-sticker-set-exclusive-photo-card,35,False,smglobalshop,False,2022-11-14
NCT 2021 'Universe' Postcard Set,https://smglobalshop.com/products/pre-order-nct-2021-universe-postcard-set,35,False,smglobalshop,False,2022-11-14
Pre-Order - Super Junior Special Single Album 'The Road : Winter for Spring',https://smglobalshop.com/products/pre-order-super-junior-special-single-album-the-road-winter-for-spring,17.5,False,smglobalshop,False,2022-11-14
NCT 127 Set,https://smglobalshop.com/products/nct-127-set,90,False,smglobalshop,False,2022-11-14
TAEYEON The 3rd Album ‘INVU’ (TAPE Ver.),https://smglobalshop.com/products/pre-order-taeyeon-the-3rd-album-invu-tape-ver,19.5,False,smglobalshop,True,2022-11-14
Head to Toes Set,https://smglobalshop.com/products/head-to-toes-set,75,False,smglobalshop,False,2022-11-14
WayV 3rd Anniversary Tattoo + Sticker Set 2019 Ver.,https://smglobalshop.com/products/pre-order-wayv-3rd-anniversary-tattoo-sticker-set-2019-ver,18,False,smglobalshop,False,2022-11-14
WayV 3rd Anniversary Lucky Card Set,https://smglobalshop.com/products/pre-order-wayv-3rd-anniversary-lucky-card-set,15,False,smglobalshop,False,2022-11-14
WayV 3rd Anniversary Necklace Set,https://smglobalshop.com/products/pre-order-wayv-3rd-anniversary-necklace-set,40,False,smglobalshop,False,2022-11-14
WayV 3rd Anniversary Acrylic Stand & AR Voice Card Set,https://smglobalshop.com/products/pre-order-wayv-3rd-anniversary-acrylic-stand-ar-voice-card-set,32,False,smglobalshop,False,2022-11-14
aespa 'Forever' Acrylic Keyring + Postcard Set,https://smglobalshop.com/products/aespa-forever-acrylic-keyring-postcard-set,25,False,smglobalshop,False,2022-11-14
KAI 'Peaches' Crewneck Socks Set + Exclusive Photo Card,https://smglobalshop.com/products/pre-order-kai-peaches-crewneck-socks-set-exclusive-photo-card,35,False,smglobalshop,True,2022-11-14
KAI 'Peaches' Acrylic Keyring with Peach Amped Fleece Charm + Exclusive Photo Card,https://smglobalshop.com/products/pre-order-kai-peaches-acrylic-keyring-with-peach-amped-fleece-charm-exclusive-photo-card,35,False,smglobalshop,True,2022-11-14
What's In My Bag Set,https://smglobalshop.com/products/pre-order-whats-in-my-bag-set,180,False,smglobalshop,False,2022-11-14
Photo Lover Set,https://smglobalshop.com/products/pre-order-photo-lover-set,250,False,smglobalshop,False,2022-11-14
