item,url,discount_price,price,is_autograph,avg_review_value,number_of_questions,number_of_reviews,vendor,is_sold_out,ds
CLASS:y - [Day & Night] 2nd Mini Meta Album PLATFORM Version,https://www.kpopalbums.com/collections/lastest-release/products/class-y-day-night-2nd-mini-meta-album-platform-version,8.93,10.50,False,0.00,0,0,kpopalbums,False,2022-11-14
J.UNA - [Natural],https://www.kpopalbums.com/collections/lastest-release/products/j-una-natural,10.56,12.42,False,0.00,0,0,kpopalbums,True,2022-11-14
Rie (OnlyOneOf) - [undergrOund idOl #4],https://www.kpopalbums.com/collections/lastest-release/products/rie-onlyoneof-underground-idol-4,13.24,15.58,False,0.00,0,0,kpopalbums,False,2022-11-14
SAAY - [S:INEMA] 2nd Album,https://www.kpopalbums.com/collections/lastest-release/products/saay-s-inema-2nd-album,14.59,17.16,False,0.00,0,0,kpopalbums,False,2022-11-14
Sunmo Yang - [My 20’s],https://www.kpopalbums.com/collections/lastest-release/products/sunmo-yang-my-20s,13.24,15.58,False,0.00,0,0,kpopalbums,False,2022-11-14
TFN - [BEFORE SUNRISE Part. 4] Mini Album,https://www.kpopalbums.com/collections/lastest-release/products/tfn-before-sunrise-part-4-mini-album,15.27,17.96,False,0.00,0,0,kpopalbums,False,2022-11-14
PATTERN - [FEELS LIKE MALIBU],https://www.kpopalbums.com/collections/lastest-release/products/pattern-feels-like-malibu,16.51,19.42,False,0.00,0,0,kpopalbums,False,2022-11-14
Rolling Quartz - [Hybrid] 2nd Single Album,https://www.kpopalbums.com/collections/lastest-release/products/rolling-quartz-hybrid-2nd-single-album,13.24,15.58,False,5.00,0,1,kpopalbums,False,2022-11-14
JO YURI - [Op.22 Y-Waltz : in Minor] 2nd Single Album 2 Version SET,https://www.kpopalbums.com/collections/lastest-release/products/jo-yuri-op-22-y-waltz-in-minor-2nd-single-album-2-version-set,23.21,27.30,False,0.00,0,0,kpopalbums,False,2022-11-14
JO YURI - [Op.22 Y-Waltz : in Minor] 2nd Single Album INSIDE Version,https://www.kpopalbums.com/collections/lastest-release/products/jo-yuri-op-22-y-waltz-in-minor-2nd-single-album-inside-version,11.89,13.99,False,0.00,0,0,kpopalbums,False,2022-11-14
JO YURI - [Op.22 Y-Waltz : in Minor] 2nd Single Album Limited Jewel Case Edition,https://www.kpopalbums.com/collections/lastest-release/products/jo-yuri-op-22-y-waltz-in-minor-2nd-single-album-limited-jewel-case-edition,8.64,10.16,False,0.00,0,0,kpopalbums,False,2022-11-14
JO YURI - [Op.22 Y-Waltz : in Minor] 2nd Single Album OUTSIDE Version,https://www.kpopalbums.com/collections/lastest-release/products/jo-yuri-op-22-y-waltz-in-minor-2nd-single-album-outside-version,11.89,13.99,False,0.00,0,0,kpopalbums,False,2022-11-14
JO YURI - [Op.22 Y-Waltz : in Minor] 2nd Single Album RANDOM Version,https://www.kpopalbums.com/collections/lastest-release/products/jo-yuri-op-22-y-waltz-in-minor-2nd-single-album-random-version,11.30,13.30,False,0.00,0,0,kpopalbums,False,2022-11-14
KIHYUN - [YOUTH] 1st Mini Album  RANDOM Version,https://www.kpopalbums.com/collections/lastest-release/products/kihyun-youth-1st-mini-album-random-version,15.04,17.70,False,0.00,0,0,kpopalbums,False,2022-11-14
