,item,url,artist,discount_price,price,sold_out,ds
125,1st Mini Album ME,/product/1st-mini-album-me/101/category/444/display/1/,NICHKHUN,17.82,22.0,False,2022-10-24
126,R.O.S.E,/product/rose/129/category/449/display/1/,WOOYOUNG,11.91,14.7,False,2022-10-24
127,2nd Mini Album BYE,/product/2nd-mini-album-bye/110/category/449/display/1/,WOOYOUNG,16.36,20.2,False,2022-10-24
128,1st Album FEEL,/product/1st-album-feel/132/category/463/display/1/,JUNHO,13.36,16.5,False,2022-10-24
129,Best Album One,/product/best-album-one/127/category/463/display/1/,JUNHO,14.82,18.3,False,2022-10-24
130,1st Mini Album CANVAS,/product/1st-mini-album-canvas/115/category/463/display/1/,JUNHO,14.82,18.3,False,2022-10-24
131,Album TWO,/product/album-two/102/category/463/display/1/,JUNHO,15.63,19.3,False,2022-10-24
132,CANDYBONG Z,/product/candybong-z/134/category/289/display/1/,TWICE,0.0,36.0,False,2022-10-24
133,OFFICIAL LIGHT STICK,/product/official-light-stick/159/category/88/display/1/,2PM,0.0,38.0,False,2022-10-24
134,DAY6 OFFICIAL LIGHT BAND,/product/day6-official-light-band/711/category/89/display/1/,DAY6,0.0,33.0,False,2022-10-24
135,OFFICIAL LIGHT STICK,/product/official-light-stick/135/category/251/display/1/,Stray Kids,0.0,38.0,False,2022-10-24
136,OFFICIAL LIGHT RING,/product/official-light-ring/160/category/238/display/1/,ITZY,0.0,39.0,False,2022-10-24
137,ACRYLIC LIGHT STICK,/product/acrylic-light-stick/485/category/94/display/1/,NMIXX,0.0,18.0,False,2022-10-24
138,2PM Light Stick Lee Junho Name Sheet - 'Before Midnight',/product/2pm-light-stick-lee-junho-name-sheet-before-midnight/551/category/460/display/1/,JUNHO,0.0,5.0,False,2022-10-24
139,2PM OFFICIAL LIGHT STICK - 'Before Midnight',/product/2pm-official-light-stick-before-midnight/550/category/460/display/1/,JUNHO,0.0,38.0,False,2022-10-24
140,THE HOTTEST ORIGIN : MUST MAKING BOOK,/product/the-hottest-origin-must-making-book/161/category/53/display/1/,2PM,0.0,45.0,False,2022-10-24
141,Beyond LIVE - TWICE : World in A Day PHOTOBOOK,/product/beyond-live-twice-world-in-a-day-photobook/162/category/57/display/1/,TWICE,0.0,35.0,False,2022-10-24
142,4th WORLD TOUR Ⅲ IN SEOUL BLU-RAY,/product/4th-world-tour-in-seoul-blu-ray/174/category/57/display/1/,TWICE,0.0,59.0,False,2022-10-24
143,4th WORLD TOUR Ⅲ IN SEOUL DVD,/product/4th-world-tour-in-seoul-dvd/173/category/57/display/1/,TWICE,0.0,49.0,False,2022-10-24
