item,url,discount_price,price,is_autograph,avg_review_value,number_of_questions,number_of_reviews,vendor,is_sold_out,ds
RED VELVET - [The ReVe Festival 2022 : Feel My Rhythm] Mimi Album ReVe RANDOM Version,https://www.kpopalbums.com/collections/restocked/products/red-velvet-the-reve-festival-2022-feel-my-rhythm-mimi-album-reve-version,13.44,19.20,False,5.00,0,1,kpopalbums,False,2022-11-14
Red Velvet - [The Reve Festival Day 2] 7th Mini Album,https://www.kpopalbums.com/collections/restocked/products/red-velvet-the-reve-festival-day2-7th-mini-album-day2-random-ver-cd-48p-booklet-1p-photocard-travel-kit-sticker-or-polaroid-or-luggagetag-or-clue-ticket-message-photocard-set-tracking-kpop-sealed-red-velvet-trfd2-day2-ran-c,15.84,18.63,False,5.00,0,2,kpopalbums,False,2022-11-14
Red Velvet - [The Reve Festival Day2] 7th Mini Album GUIDE BOOK Version,https://www.kpopalbums.com/collections/restocked/products/red-velvet-the-reve-festival-day2-7th-mini-album-guide-book-ver-cd-48p-booklet-1p-photocard-message-photocard-set-tracking-kpop-sealed-red-velvet-trfd2-guide-book-c,11.83,14.79,False,5.00,0,1,kpopalbums,False,2022-11-14
Red Velvet - [The Reve Festival Day2] 7th Mini Album KIHNO KIT,https://www.kpopalbums.com/collections/restocked/products/red-velvet-the-reve-festival-day2-7th-mini-album-kihno-kit-1p-photocard-message-photocard-set-tracking-kpop-sealed-red-velvet-trfd2-kihno-c,15.84,18.63,False,,,,kpopalbums,False,2022-11-14
Red Velvet - [The Reve Festival Finale] Repackage Album FINALE Version 2 Cover SET,https://www.kpopalbums.com/collections/restocked/products/red-velvet-the-reve-festival-finale-repackage-album-finale-version-green-pink-2-set-cd-176p-booklet-1p-photocard-1p-signature-postcard-message-photocard-set-tracking-kpop-sealed-red-velvet-trff-finale-set-c,29.56,39.41,False,,,,kpopalbums,False,2022-11-14
Red Velvet - [The Reve Festival Finale] Repackage Album FINALE Version GREEN Cover,https://www.kpopalbums.com/collections/restocked/products/red-velvet-the-reve-festival-finale-repackage-album-finale-version-green-cover-cd-176p-booklet-1p-photocard-1p-signature-postcard-message-photocard-set-tracking-kpop-sealed-red-velvet-trff-finale-green-c,15.16,20.21,False,,,,kpopalbums,False,2022-11-14
Red Velvet - [The Reve Festival Finale] Repackage Album FINALE Version PINK Cover,https://www.kpopalbums.com/collections/restocked/products/red-velvet-the-reve-festival-finale-repackage-album-finale-version-random-pink-cover-cd-176p-booklet-1p-photocard-1p-signature-postcard-message-photocard-set-tracking-kpop-sealed-red-velvet-trff-finale-pink-c,15.16,20.21,False,,,,kpopalbums,False,2022-11-14
Red Velvet - [The Reve Festival Finale] Repackage Album FINALE Version RANDOM Cover,https://www.kpopalbums.com/collections/restocked/products/red-velvet-the-reve-festival-finale-repackage-album-finale-version-random-cover-cd-176p-booklet-1p-photocard-1p-signature-postcard-message-photocard-set-tracking-kpop-sealed-red-velvet-trff-finale-ran-c,13.44,19.20,False,3.50,0,2,kpopalbums,False,2022-11-14
Red Velvet - [The Reve Festival Finale] Repackage Album SCRAPBOOK Version,https://www.kpopalbums.com/collections/restocked/products/red-velvet-the-reve-festival-finale-repackage-album-scrapbook-version-cd-52p-booklet-1p-photocard-message-photocard-set-tracking-kpop-sealed-red-velvet-trff-scrapbook-c,11.69,15.58,False,4.80,0,5,kpopalbums,False,2022-11-14
RED VELVET - [The Velvet] 2nd Mini Album,https://www.kpopalbums.com/collections/restocked/products/red-velvet-the-velvet-2nd-mini-album-cd-extra-photocards-set-tracking-kpop-sealed-red-velvet-the-velvet-c,9.82,13.10,False,0.00,0,0,kpopalbums,False,2022-11-14
Red Velvet Irene & Seulgi - [Monster] 1st Mini Album BASE NOTE Version,https://www.kpopalbums.com/collections/restocked/products/red-velvet-irene-seulgi-monster-1st-mini-album-base-note-version-cd-1p-folding-poster-on-pack-booklet-photocard-sticker-postcard-message-photocard-set-tracking-kpop-sealed-irene-seulgi-monster-base-c,9.79,13.99,False,,,,kpopalbums,False,2022-11-14
Red Velvet Irene & Seulgi - [Monster] 1st Mini Album RANDOM Version,https://www.kpopalbums.com/collections/restocked/products/red-velvet-irene-seulgi-monster-1st-mini-album-random-ver-cd-72p-photo-book-16p-lyrics-book-2p-post-1p-card-1p-folding-poster-on-pack-sticker-guarantee-card-message-photocard-set-trackin-red-velvet-monster-ran-c,17.28,19.20,False,,,,kpopalbums,False,2022-11-14
TAEYEON - [INVU] 3rd Album TAPE Version,https://www.kpopalbums.com/collections/restocked/products/taeyeon-invu-3rd-album-tape-version,11.89,13.99,False,0.00,0,0,kpopalbums,False,2022-11-14
TOO - [Running Together] 2nd Mini Album,https://www.kpopalbums.com/collections/restocked/products/too-running-together-2nd-mini-album-cd-1p-folding-lyric-poster-on-pack-100p-photobook-2p-photocard-1p-circle-card-1p-mini-slogan-1p-photo-ticket-1p-illust-sticker-message-photocard-set-tracking-too-running-together-c,11.46,16.37,False,,,,kpopalbums,False,2022-11-14
Twice - [Merry & Happy] 1st Album Repackage RANDOM Version,https://www.kpopalbums.com/collections/restocked/products/twice-merry-happy-1st-album-repackage-random-version,11.84,14.80,False,4.50,0,2,kpopalbums,False,2022-11-14
Twice - [More & More] 9th Mini Album 3 Version SET,https://www.kpopalbums.com/collections/restocked/products/twice-more-more-9th-mini-album-3-version-set-cd-88p-photobook-postcard-post-1p-coaster-card-5p-photocard-message-photocard-set-tracking-kpop-sealed-twice-more-more-set-c,42.31,49.78,False,,,,kpopalbums,False,2022-11-14
Twice - [More & More] 9th Mini Album A Version,https://www.kpopalbums.com/collections/restocked/products/twice-more-more-9th-mini-album-a-version-cd-88p-photobook-postcard-post-1p-coaster-card-5p-photocard-message-photocard-set-tracking-kpop-sealed-twice-more-more-a-red-c,15.44,17.16,False,5.00,0,1,kpopalbums,False,2022-11-14
Twice - [More & More] 9th Mini Album B Version,https://www.kpopalbums.com/collections/restocked/products/twice-more-more-9th-mini-album-b-version-cd-88p-photobook-postcard-post-1p-coaster-card-5p-photocard-message-photocard-set-tracking-kpop-sealed-twice-more-more-b-black-c,15.44,17.16,False,,,,kpopalbums,False,2022-11-14
Twice - [More & More] 9th Mini Album C Version,https://www.kpopalbums.com/collections/restocked/products/twice-more-more-9th-mini-album-c-version-cd-88p-photobook-postcard-post-1p-coaster-card-5p-photocard-message-photocard-set-tracking-kpop-sealed-twice-more-more-c-gold-c,15.44,17.16,False,,,,kpopalbums,False,2022-11-14
Twice - [More & More] 9th Mini Album RANDOM Version,https://www.kpopalbums.com/collections/restocked/products/twice-more-more-9th-mini-album-random-version-cd-88p-photobook-postcard-post-1p-coaster-card-5p-photocard-message-photocard-set-tracking-kpop-sealed-twice-more-more-ran-c,13.05,16.31,False,5.00,0,1,kpopalbums,False,2022-11-14
